◇ injecting env (13) from .env.local // tip: ◈ encrypted .env [www.dotenvx.com]
Fetching dirty products from Supabase...
Scanned 1000 rows, 13 dirty so far...
Batch 247/655 — fixed: 6150, skipped: 0
Batch 248/655 — fixed: 6175, skipped: 0
Batch 249/655 — fixed: 6200, skipped: 0
Batch 250/655 — fixed: 6225, skipped: 0
Batch 251/655 — fixed: 6250, skipped: 0
Batch 252/655 — fixed: 6275, skipped: 0
Batch 253/655 — fixed: 6300, skipped: 0
Batch 254/655 — fixed: 6325, skipped: 0
Batch 255/655 — fixed: 6350, skipped: 0
Batch 256/655 — fixed: 6375, skipped: 0
Batch 257/655 — fixed: 6400, skipped: 0
Batch 258/655 — fixed: 6425, skipped: 0
Batch 259/655 — fixed: 6450, skipped: 0
Batch 260/655 — fixed: 6475, skipped: 0
Batch 261/655 — fixed: 6500, skipped: 0
Batch 262/655 — fixed: 6525, skipped: 0
Batch 263/655 — fixed: 6550, skipped: 0
Batch 264/655 — fixed: 6575, skipped: 0
Batch 265/655 — fixed: 6600, skipped: 0
Batch 266/655 — fixed: 6625, skipped: 0
Batch 267/655 — fixed: 6650, skipped: 0
Batch 268/655 — fixed: 6675, skipped: 0
Batch 269/655 — fixed: 6700, skipped: 0
Batch 270/655 — fixed: 6725, skipped: 0
Batch 271/655 — fixed: 6750, skipped: 0
Batch 272/655 — fixed: 6775, skipped: 0
Batch 273/655 — fixed: 6800, skipped: 0
Batch 274/655 — fixed: 6825, skipped: 0
Batch 275/655 — fixed: 6850, skipped: 0
Batch 276/655 — fixed: 6875, skipped: 0
Batch 277/655 — fixed: 6900, skipped: 0
Batch 278/655 — fixed: 6925, skipped: 0
Batch 279/655 — fixed: 6950, skipped: 0
Batch 280/655 — fixed: 6975, skipped: 0
Batch 281/655 — fixed: 7000, skipped: 0
Batch 282/655 — fixed: 7025, skipped: 0
Batch 283/655 — fixed: 7050, skipped: 0
Batch 284/655 — fixed: 7075, skipped: 0
Batch 285/655 — fixed: 7100, skipped: 0
Batch 286/655 — fixed: 7125, skipped: 0
Batch 287/655 — fixed: 7150, skipped: 0
Batch 288/655 — fixed: 7175, skipped: 0
Batch 289/655 — fixed: 7200, skipped: 0
Batch 290/655 — fixed: 7225, skipped: 0
Batch 291/655 — fixed: 7250, skipped: 0
Batch 292/655 — fixed: 7275, skipped: 0
Batch 293/655 — fixed: 7300, skipped: 0
Batch 294/655 — fixed: 7325, skipped: 0
Batch 295/655 — fixed: 7350, skipped: 0
Batch 296/655 — fixed: 7375, skipped: 0
Batch 297/655 — fixed: 7400, skipped: 0
Batch 298/655 — fixed: 7425, skipped: 0
Batch 299/655 — fixed: 7450, skipped: 0
Batch 300/655 — fixed: 7475, skipped: 0
Batch 301/655 — fixed: 7500, skipped: 0
Batch 302/655 — fixed: 7525, skipped: 0
Batch 303/655 — fixed: 7550, skipped: 0
Batch 304/655 — fixed: 7575, skipped: 0
Batch 305/655 — fixed: 7600, skipped: 0
Batch 306/655 — fixed: 7625, skipped: 0
Batch 307/655 — fixed: 7650, skipped: 0
Batch 308/655 — fixed: 7675, skipped: 0
Batch 309/655 — fixed: 7700, skipped: 0
Batch 310/655 — fixed: 7725, skipped: 0
Batch 311/655 — fixed: 7750, skipped: 0
Batch 312/655 — fixed: 7775, skipped: 0
Batch 313/655 — fixed: 7800, skipped: 0
Batch 314/655 — fixed: 7825, skipped: 0
Batch 315/655 — fixed: 7850, skipped: 0
Batch 316/655 — fixed: 7875, skipped: 0
Batch 317/655 — fixed: 7900, skipped: 0
Batch 318/655 — fixed: 7925, skipped: 0
Batch 319/655 — fixed: 7950, skipped: 0
Batch 320/655 — fixed: 7975, skipped: 0
Batch 321/655 — fixed: 8000, skipped: 0
Batch 322/655 — fixed: 8025, skipped: 0
Batch 323/655 — fixed: 8050, skipped: 0
Batch 324/655 — fixed: 8075, skipped: 0
Batch 325/655 — fixed: 8100, skipped: 0
Batch 326/655 — fixed: 8125, skipped: 0
Batch 327/655 — fixed: 8150, skipped: 0
Batch 328/655 — fixed: 8175, skipped: 0
Batch 329/655 — fixed: 8200, skipped: 0
Batch 330/655 — fixed: 8225, skipped: 0
Batch 331/655 — fixed: 8250, skipped: 0
Batch 332/655 — fixed: 8275, skipped: 0
Batch 333/655 — fixed: 8300, skipped: 0
Batch 334/655 — fixed: 8325, skipped: 0
Batch 335/655 — fixed: 8350, skipped: 0
Batch 336/655 — fixed: 8375, skipped: 0
Batch 337/655 — fixed: 8400, skipped: 0
Batch 338/655 — fixed: 8425, skipped: 0
Batch 339/655 — fixed: 8450, skipped: 0
Batch 340/655 — fixed: 8475, skipped: 0
Batch 341/655 — fixed: 8500, skipped: 0
Batch 342/655 — fixed: 8525, skipped: 0
Batch 343/655 — fixed: 8550, skipped: 0
Batch 344/655 — fixed: 8575, skipped: 0
Batch 345/655 — fixed: 8600, skipped: 0
Batch 346/655 — fixed: 8625, skipped: 0
Batch 347/655 — fixed: 8650, skipped: 0
Batch 348/655 — fixed: 8675, skipped: 0
Batch 349/655 — fixed: 8700, skipped: 0
Batch 350/655 — fixed: 8725, skipped: 0
Batch 351/655 — fixed: 8750, skipped: 0
Batch 352/655 — fixed: 8775, skipped: 0
Batch 353/655 — fixed: 8800, skipped: 0
Batch 354/655 — fixed: 8825, skipped: 0
Batch 355/655 — fixed: 8850, skipped: 0
Batch 356/655 — fixed: 8875, skipped: 0
Batch 357/655 — fixed: 8900, skipped: 0
Batch 358/655 — fixed: 8925, skipped: 0
Batch 359/655 — fixed: 8950, skipped: 0
Batch 360/655 — fixed: 8975, skipped: 0
Batch 361/655 — fixed: 9000, skipped: 0
Batch 362/655 — fixed: 9025, skipped: 0
Batch 363/655 — fixed: 9050, skipped: 0
Batch 364/655 — fixed: 9075, skipped: 0
Batch 365/655 — fixed: 9100, skipped: 0
Batch 366/655 — fixed: 9125, skipped: 0
Batch 367/655 — fixed: 9150, skipped: 0
Batch 368/655 — fixed: 9175, skipped: 0
Batch 369/655 — fixed: 9200, skipped: 0
Batch 370/655 — fixed: 9225, skipped: 0
Batch 371/655 — fixed: 9250, skipped: 0
Batch 372/655 — fixed: 9275, skipped: 0
Batch 373/655 — fixed: 9300, skipped: 0
Batch 374/655 — fixed: 9325, skipped: 0
Batch 375/655 — fixed: 9350, skipped: 0
Batch 376/655 — fixed: 9375, skipped: 0
Batch 377/655 — fixed: 9400, skipped: 0
Batch 378/655 — fixed: 9425, skipped: 0
Batch 379/655 — fixed: 9450, skipped: 0
Batch 380/655 — fixed: 9475, skipped: 0
Batch 381/655 — fixed: 9500, skipped: 0
Batch 382/655 — fixed: 9525, skipped: 0
Batch 383/655 — fixed: 9550, skipped: 0
Batch 384/655 — fixed: 9575, skipped: 0
Batch 385/655 — fixed: 9600, skipped: 0
Batch 386/655 — fixed: 9625, skipped: 0
Batch 387/655 — fixed: 9650, skipped: 0
Batch 388/655 — fixed: 9675, skipped: 0
Batch 389/655 — fixed: 9700, skipped: 0
Batch 390/655 — fixed: 9725, skipped: 0
Batch 391/655 — fixed: 9750, skipped: 0
Batch 392/655 — fixed: 9775, skipped: 0
Batch 393/655 — fixed: 9800, skipped: 0
Batch 394/655 — fixed: 9825, skipped: 0
Batch 395/655 — fixed: 9850, skipped: 0
Batch 396/655 — fixed: 9875, skipped: 0
Batch 397/655 — fixed: 9900, skipped: 0
Batch 398/655 — fixed: 9925, skipped: 0
Batch 399/655 — fixed: 9950, skipped: 0
Batch 400/655 — fixed: 9975, skipped: 0
Batch 401/655 — fixed: 10000, skipped: 0
Batch 402/655 — fixed: 10025, skipped: 0
Batch 403/655 — fixed: 10050, skipped: 0
Batch 404/655 — fixed: 10075, skipped: 0
Batch 405/655 — fixed: 10100, skipped: 0
Batch 406/655 — fixed: 10125, skipped: 0
Batch 407/655 — fixed: 10150, skipped: 0
Batch 408/655 — fixed: 10175, skipped: 0
Batch 409/655 — fixed: 10200, skipped: 0
Batch 410/655 — fixed: 10225, skipped: 0
Batch 411/655 — fixed: 10250, skipped: 0
Batch 412/655 — fixed: 10275, skipped: 0
Batch 413/655 — fixed: 10300, skipped: 0
Batch 414/655 — fixed: 10325, skipped: 0
Batch 415/655 — fixed: 10350, skipped: 0
Batch 416/655 — fixed: 10375, skipped: 0
Batch 417/655 — fixed: 10400, skipped: 0
Batch 418/655 — fixed: 10425, skipped: 0
Batch 419/655 — fixed: 10450, skipped: 0
Batch 420/655 — fixed: 10475, skipped: 0
Batch 421/655 — fixed: 10500, skipped: 0
Batch 422/655 — fixed: 10525, skipped: 0
Batch 423/655 — fixed: 10550, skipped: 0
Batch 424/655 — fixed: 10575, skipped: 0
Batch 425/655 — fixed: 10600, skipped: 0
Batch 426/655 — fixed: 10625, skipped: 0
Batch 427/655 — fixed: 10650, skipped: 0
Batch 428/655 — fixed: 10675, skipped: 0
Batch 429/655 — fixed: 10700, skipped: 0
Batch 430/655 — fixed: 10725, skipped: 0
Batch 431/655 — fixed: 10750, skipped: 0
Batch 432/655 — fixed: 10775, skipped: 0
Batch 433/655 — fixed: 10800, skipped: 0
Batch 434/655 — fixed: 10825, skipped: 0
Batch 435/655 — fixed: 10850, skipped: 0
Batch 436/655 — fixed: 10875, skipped: 0
Batch 437/655 — fixed: 10900, skipped: 0
Batch 438/655 — fixed: 10925, skipped: 0
Batch 439/655 — fixed: 10950, skipped: 0
Batch 440/655 — fixed: 10975, skipped: 0
Batch 441/655 — fixed: 11000, skipped: 0
Batch 442/655 — fixed: 11025, skipped: 0
Batch 443/655 — fixed: 11050, skipped: 0
Batch 444/655 — fixed: 11075, skipped: 0
Batch 445/655 — fixed: 11100, skipped: 0
Batch 446/655 — fixed: 11125, skipped: 0
Batch 447/655 — fixed: 11150, skipped: 0
Batch 448/655 — fixed: 11175, skipped: 0
Batch 449/655 — fixed: 11200, skipped: 0
Batch 450/655 — fixed: 11225, skipped: 0
Batch 451/655 — fixed: 11250, skipped: 0
Batch 452/655 — fixed: 11275, skipped: 0
Batch 453/655 — fixed: 11300, skipped: 0
Batch 454/655 — fixed: 11325, skipped: 0
Batch 455/655 — fixed: 11350, skipped: 0
Batch 456/655 — fixed: 11375, skipped: 0
Batch 457/655 — fixed: 11400, skipped: 0
Batch 458/655 — fixed: 11425, skipped: 0
Batch 459/655 — fixed: 11450, skipped: 0
Batch 460/655 — fixed: 11475, skipped: 0
Batch 461/655 — fixed: 11500, skipped: 0
Batch 462/655 — fixed: 11525, skipped: 0
Batch 463/655 — fixed: 11550, skipped: 0
Batch 464/655 — fixed: 11575, skipped: 0
Batch 465/655 — fixed: 11600, skipped: 0
Batch 466/655 — fixed: 11625, skipped: 0
Batch 467/655 — fixed: 11650, skipped: 0
Batch 468/655 — fixed: 11675, skipped: 0
Batch 469/655 — fixed: 11700, skipped: 0
Batch 470/655 — fixed: 11725, skipped: 0
Batch 471/655 — fixed: 11750, skipped: 0
Batch 472/655 — fixed: 11775, skipped: 0
Batch 473/655 — fixed: 11800, skipped: 0
Batch 474/655 — fixed: 11825, skipped: 0
Batch 475/655 — fixed: 11850, skipped: 0
Batch 476/655 — fixed: 11875, skipped: 0
Batch 477/655 — fixed: 11900, skipped: 0
Batch 478/655 — fixed: 11925, skipped: 0
Batch 479/655 — fixed: 11950, skipped: 0
Batch 480/655 — fixed: 11975, skipped: 0
Batch 481/655 — fixed: 12000, skipped: 0
Batch 482/655 — fixed: 12025, skipped: 0
Batch 483/655 — fixed: 12050, skipped: 0
Batch 484/655 — fixed: 12075, skipped: 0
Batch 485/655 — fixed: 12100, skipped: 0
Batch 486/655 — fixed: 12125, skipped: 0
Batch 487/655 — fixed: 12150, skipped: 0
Batch 488/655 — fixed: 12175, skipped: 0
Batch 489/655 — fixed: 12200, skipped: 0
Batch 490/655 — fixed: 12225, skipped: 0
Batch 491/655 — fixed: 12250, skipped: 0
Batch 492/655 — fixed: 12275, skipped: 0
Batch 493/655 — fixed: 12300, skipped: 0
Batch 494/655 — fixed: 12325, skipped: 0
Batch 495/655 — fixed: 12350, skipped: 0
Batch 496/655 — fixed: 12375, skipped: 0
Batch 497/655 — fixed: 12400, skipped: 0
Batch 498/655 — fixed: 12425, skipped: 0
Batch 499/655 — fixed: 12450, skipped: 0
Batch 500/655 — fixed: 12475, skipped: 0
Batch 501/655 — fixed: 12500, skipped: 0
Batch 502/655 — fixed: 12525, skipped: 0
Batch 503/655 — fixed: 12550, skipped: 0
Batch 504/655 — fixed: 12575, skipped: 0
Batch 505/655 — fixed: 12600, skipped: 0
Batch 506/655 — fixed: 12625, skipped: 0
Batch 507/655 — fixed: 12650, skipped: 0
Batch 508/655 — fixed: 12675, skipped: 0
Batch 509/655 — fixed: 12700, skipped: 0
Batch 510/655 — fixed: 12725, skipped: 0
Batch 511/655 — fixed: 12750, skipped: 0
Batch 512/655 — fixed: 12775, skipped: 0
Batch 513/655 — fixed: 12800, skipped: 0
Batch 514/655 — fixed: 12825, skipped: 0
Batch 515/655 — fixed: 12850, skipped: 0
Batch 516/655 — fixed: 12875, skipped: 0
Batch 517/655 — fixed: 12900, skipped: 0
Batch 518/655 — fixed: 12925, skipped: 0
Batch 519/655 — fixed: 12950, skipped: 0
Batch 520/655 — fixed: 12975, skipped: 0
